id_venda,data_venda,id_cliente,id_loja,id_status,id_produto,id_quantidade,vl_unitario
47,2025-06-28,5,4,3,10,3,221.9
48,2025-10-06,46,5,1,18,5,466.22
49,2025-02-23,9,5,1,4,9,81.95
50,2025-05-25,39,4,3,7,5,255.18
51,2025-05-09,4,2,4,9,1,6.76
52,2025-03-08,41,5,2,15,9,354.31
53,2025-10-15,1,2,1,5,9,22.83
54,2025-07-09,38,9,2,14,3,25.71
55,2025-07-06,3,6,2,8,2,180.07
56,2025-10-14,27,10,2,8,3,488.22
57,2025-04-01,27,1,2,11,7,402.11
58,2025-05-08,18,3,1,13,1,430.0
59,2025-04-24,13,8,3,10,4,115.35
60,2025-12-04,13,7,3,9,2,483.61
61,2025-05-23,23,9,4,18,6,469.92
62,2025-03-01,17,3,3,2,2,300.3
63,2025-06-26,47,6,4,20,9,62.24
64,2025-10-23,13,5,1,14,1,262.36
65,2025-10-03,44,4,3,14,2,474.69
66,2025-06-19,40,6,1,10,9,158.1
67,2025-07-29,21,7,3,18,3,99.96
68,2025-12-07,25,3,3,13,9,417.69
69,2025-06-05,19,4,4,19,10,329.08
70,2025-08-27,29,8,2,17,8,397.9
71,2025-03-28,43,2,3,17,10,170.92
72,2025-05-01,44,5,2,7,3,17.09
73,2025-05-06,31,10,1,15,7,443.64
74,2025-10-22,13,7,4,13,4,78.05
75,2025-12-19,1,2,4,8,3,403.03
76,2025-12-23,34,8,1,18,4,459.15
77,2025-03-04,30,3,4,17,9,299.75
78,2025-08-15,40,9,4,18,8,449.12
79,2025-09-01,29,5,2,9,9,244.88
80,2025-05-03,18,8,1,10,4,139.5
81,2025-06-13,35,2,2,5,4,194.6
82,2025-03-20,46,4,1,14,7,168.79
83,2025-08-27,27,1,2,14,7,452.9
84,2025-10-27,45,1,4,16,1,471.66
85,2025-06-02,49,7,4,18,9,400.93
86,2025-04-23,32,4,3,14,8,19.37
87,2025-06-22,43,7,2,15,3,490.46
88,2025-10-01,2,7,1,3,7,72.17
89,2025-08-25,12,1,3,13,6,109.77
90,2025-06-17,22,7,3,14,5,418.28
91,2025-08-29,2,9,1,12,4,326.82
92,2025-11-30,3,1,2,7,1,312.56
93,2025-05-03,9,8,1,19,4,235.19
94,2025-05-12,50,6,2,20,10,482.05
95,2025-02-28,50,3,3,4,10,17.71
96,2025-06-09,37,7,4,7,2,298.09
97,2025-11-18,16,2,3,20,2,399.13
98,2025-10-17,3,6,4,12,2,255.45
99,2025-06-24,1,7,4,4,7,480.59
100,2025-11-22,30,3,4,6,9,482.91
101,2025-05-19,40,9,4,15,7,413.74
102,2025-10-31,18,6,2,3,5,441.41
103,2025-05-05,49,8,4,11,1,249.68
104,2025-06-16,12,8,2,12,5,173.47
105,2025-11-02,45,5,1,17,4,47.38
106,2025-07-28,32,9,2,16,8,226.85
107,2025-01-09,6,5,2,13,4,156.57
108,2025-10-25,24,8,3,14,9,168.74
109,2025-12-26,30,5,3,9,4,64.72
110,2025-04-09,21,2,2,7,4,370.61
111,2025-05-22,47,10,3,4,4,151.64
112,2025-07-04,12,5,1,18,3,140.78
113,2025-01-28,36,5,2,16,2,437.0
114,2025-10-21,19,8,4,15,6,96.26
115,2025-01-27,17,8,1,3,7,248.41
116,2025-10-23,41,1,2,5,10,474.82
117,2025-02-13,16,2,4,20,10,396.42
118,2025-04-26,50,9,4,15,8,152.19
119,2025-10-29,28,5,1,20,2,474.06
120,2025-04-17,41,4,3,3,3,123.73
121,2025-10-10,5,3,1,14,8,346.24
122,2025-08-29,19,1,2,10,5,352.98
123,2025-08-21,5,4,3,19,4,215.44
124,2025-10-06,15,3,3,5,2,34.52
125,2025-06-07,39,10,3,15,2,237.01
126,2025-06-05,45,7,3,17,9,249.43
127,2025-02-11,39,1,4,11,10,128.93
128,2025-02-16,15,10,1,9,10,24.91
129,2025-03-31,31,9,4,9,3,498.49
130,2025-08-12,41,8,1,16,6,207.13
131,2025-06-14,43,2,2,11,7,348.37
132,2025-05-28,43,7,1,15,2,160.69
133,2025-06-15,8,7,1,18,8,209.56
134,2025-04-07,34,6,4,15,1,105.76
135,2025-10-09,9,5,4,16,2,19.29
136,2025-11-19,39,4,2,10,9,11.77
137,2025-07-28,6,4,1,15,2,325.62
138,2025-03-20,32,5,3,14,8,490.22
139,2025-05-05,30,9,2,13,4,461.32
140,2025-09-18,48,3,1,9,7,173.24
141,2025-09-17,18,1,3,10,10,292.06
142,2025-12-04,32,3,4,18,8,175.84
143,2025-10-10,49,9,4,15,6,435.45
144,2025-12-24,16,10,4,8,7,26.61
145,2025-08-31,46,7,4,5,8,482.59
146,2025-03-06,33,10,3,4,8,54.36
147,2025-08-22,1,3,4,5,2,237.4
148,2025-05-16,22,10,4,3,6,426.91
149,2025-10-01,25,6,4,18,1,310.64
150,2025-05-01,41,5,2,3,7,489.28
151,2025-11-21,46,2,4,6,5,452.19
152,2025-01-24,21,1,3,12,6,218.19
153,2025-05-06,34,7,2,6,3,44.09
154,2025-07-15,40,4,4,19,3,119.93
155,2025-11-23,17,8,3,1,8,451.1
156,2025-12-13,35,3,1,15,6,493.89
157,2025-06-03,41,7,3,15,5,103.61
158,2025-07-16,31,2,2,13,10,182.68
159,2025-06-01,45,5,1,13,5,9.01
160,2025-12-18,50,1,4,10,4,305.5
161,2025-06-30,15,4,3,5,2,452.18
162,2025-11-27,3,5,4,2,10,185.61
163,2025-03-09,6,5,3,14,3,104.39
164,2025-10-04,24,9,3,6,5,457.45
165,2025-09-04,19,6,1,15,2,74.67
166,2025-04-26,44,7,3,3,7,11.89
167,2025-10-02,8,8,3,9,10,193.61
168,2025-11-23,24,2,2,16,1,311.68
169,2025-10-15,21,10,2,3,8,455.15
170,2025-06-04,42,7,1,5,1,473.4
171,2025-06-05,32,2,1,8,9,72.15
172,2025-08-21,24,9,4,19,3,443.28
173,2025-12-02,7,8,4,9,1,346.69
174,2025-04-22,29,8,2,12,2,490.56
175,2025-07-08,35,6,1,13,5,98.96
176,2025-03-04,30,2,2,20,1,30.04
177,2025-06-20,16,3,2,3,9,107.54
178,2025-04-21,15,6,2,20,1,142.25
179,2025-03-16,9,9,3,6,2,332.22
180,2025-01-14,9,1,3,8,10,165.27
181,2025-03-31,17,1,2,14,9,61.26
182,2025-02-02,31,8,3,17,10,58.98
183,2025-09-15,15,10,1,17,5,231.73
184,2025-01-16,4,8,4,14,2,247.68
185,2025-08-16,5,2,3,20,3,37.51
186,2025-05-21,40,10,3,13,10,267.63
187,2025-08-21,33,10,4,4,2,427.13
188,2025-11-30,50,9,2,14,8,444.61
189,2025-07-31,22,8,4,14,2,159.71
190,2025-06-10,43,5,3,5,8,38.23
191,2025-02-13,6,7,1,12,3,280.4
192,2025-10-28,36,9,3,4,7,180.03
193,2025-12-07,49,7,1,10,10,159.66
194,2025-02-23,37,9,2,5,8,116.0
195,2025-02-25,23,9,3,4,5,289.18
196,2025-08-08,36,10,1,20,5,19.33
197,2025-05-20,45,5,3,12,1,94.8
198,2025-03-15,37,7,1,5,1,50.42
199,2025-09-29,14,7,4,15,6,82.92
200,2025-06-09,47,6,1,2,3,82.92
201,2025-11-13,4,2,3,15,7,245.4
202,2025-08-15,27,5,2,17,2,175.86
203,2025-02-26,19,10,4,17,5,27.48
204,2025-07-22,39,1,1,7,5,472.94
205,2025-03-12,49,5,3,11,2,8.83
206,2025-08-09,12,3,4,18,4,252.63
207,2025-12-09,23,2,4,2,7,14.28
208,2025-02-09,21,10,4,19,7,356.2
209,2025-08-02,19,2,4,1,6,90.08
210,2025-11-13,30,6,1,14,2,125.44
211,2025-10-29,26,9,1,13,5,374.17
212,2025-04-24,22,3,1,17,2,267.65
213,2025-04-10,50,6,3,5,4,55.89
214,2025-05-12,13,3,2,3,3,475.89
215,2025-11-18,32,8,4,19,10,164.99
216,2025-11-18,21,3,4,3,8,223.89
217,2025-06-05,18,10,1,12,9,41.72
218,2025-08-25,29,1,1,12,5,42.98
219,2025-02-16,40,10,4,15,10,279.39
220,2025-01-22,29,10,2,11,10,240.44
221,2025-03-19,4,8,1,11,2,254.75
222,2025-03-30,3,4,4,15,9,263.76
223,2025-03-23,24,6,3,13,7,388.36
224,2025-12-14,39,1,3,3,6,51.78
225,2025-12-14,25,5,3,20,3,170.01
226,2025-10-26,43,3,3,10,7,68.83
227,2025-12-29,6,5,4,11,3,336.71
228,2025-12-17,34,2,4,17,6,14.02
229,2025-06-08,12,4,3,16,4,117.14
230,2025-03-12,10,2,3,4,9,386.58
231,2025-09-27,3,6,2,20,7,81.36
232,2025-04-03,45,10,2,15,1,208.38
233,2025-12-13,47,4,4,20,5,377.43
234,2025-08-18,15,9,2,10,8,452.47
235,2025-04-10,24,10,4,15,5,390.17
236,2025-09-15,34,7,2,7,10,73.51
237,2025-05-09,4,8,3,18,2,357.14
238,2025-09-22,8,5,1,6,5,227.41
239,2025-09-20,10,7,1,8,8,442.89
240,2025-01-14,27,1,4,17,6,121.71
241,2025-02-11,24,4,1,11,2,420.39
242,2025-11-29,22,3,2,2,5,459.11
243,2025-08-30,45,3,4,15,10,7.6
244,2025-02-10,2,5,2,5,9,470.41
245,2025-11-08,34,7,1,10,4,154.07
246,2025-01-25,16,7,4,3,2,419.16
247,2025-09-13,39,9,1,17,10,124.76
248,2025-03-15,19,7,1,20,6,124.08
249,2025-08-02,12,2,3,3,9,274.32
250,2025-09-17,36,1,4,16,1,319.66
251,2025-07-11,17,1,3,3,6,124.36
252,2025-12-03,41,2,3,5,1,179.39
253,2025-06-23,42,3,4,16,3,406.69
254,2025-02-02,46,8,1,10,4,26.68
255,2025-04-13,3,6,3,17,7,494.62
256,2025-10-06,31,5,1,7,5,181.7
257,2025-01-25,42,6,3,4,6,221.29
258,2025-07-24,48,8,4,11,3,250.62
259,2025-09-12,24,9,3,3,7,44.07
260,2025-11-05,12,9,3,11,2,44.63
261,2025-12-05,19,5,4,20,7,87.49
262,2025-08-16,23,8,1,12,10,499.08
263,2025-05-21,41,1,1,13,6,258.98
264,2025-12-14,11,1,2,20,8,22.23
265,2025-02-04,16,6,3,13,10,21.03
266,2025-03-20,44,8,3,12,8,382.73
267,2025-10-21,9,9,3,13,6,326.53
268,2025-05-08,8,1,2,16,9,196.56
269,2025-10-15,8,5,3,15,4,498.2
270,2025-05-27,45,8,2,4,3,427.15
271,2025-08-20,12,8,1,11,6,356.22
272,2025-10-09,35,5,3,6,3,397.88
273,2025-09-18,15,2,2,5,4,396.23
274,2025-01-14,24,9,3,15,9,69.24
275,2025-02-14,5,5,4,16,9,208.34
276,2025-07-29,37,2,2,11,2,227.74
277,2025-12-15,34,6,2,18,10,95.07
278,2025-03-08,28,9,1,4,9,80.74
279,2025-03-26,11,6,2,12,9,447.99
280,2025-02-10,17,4,3,5,5,309.14
281,2025-02-17,33,3,2,6,10,361.71
282,2025-11-06,22,10,1,1,2,27.5
283,2025-11-25,50,10,3,7,10,211.21
284,2025-11-24,2,8,3,10,8,126.21
285,2025-12-17,26,5,4,3,1,83.25
286,2025-08-01,31,8,2,11,10,76.12
287,2025-06-13,47,6,4,5,6,259.92
288,2025-02-24,21,4,4,4,5,227.55
289,2025-03-14,7,1,3,13,10,211.98
290,2025-03-23,21,10,3,7,3,251.64
291,2025-09-21,30,8,3,16,1,49.57
292,2025-07-21,33,8,2,7,10,179.68
293,2025-01-26,19,8,4,10,9,9.05
294,2025-02-25,28,3,3,12,7,186.14
295,2025-07-25,4,10,2,12,9,147.86
296,2025-07-17,33,8,3,20,10,63.81
297,2025-02-19,26,6,3,18,6,378.71
298,2025-04-12,39,9,4,17,1,27.43
299,2025-03-12,46,6,4,17,8,78.73
300,2025-09-21,9,6,3,6,7,495.35
301,2025-06-03,38,6,4,19,5,240.07
302,2025-01-09,24,6,1,14,10,157.3
303,2025-12-19,41,1,4,9,10,290.93
304,2025-01-27,38,8,2,17,10,388.43
305,2025-07-14,10,4,1,19,2,99.44
306,2025-08-14,21,7,2,14,4,208.14
307,2025-11-10,31,1,2,17,4,282.64
308,2025-12-06,31,9,4,11,3,232.53
309,2025-09-30,22,9,3,9,10,244.67
310,2025-05-07,18,9,3,8,5,386.73
311,2025-12-27,14,8,3,16,6,282.44
312,2025-05-21,19,2,4,13,6,477.53
313,2025-03-16,19,1,3,3,6,462.38
314,2025-12-02,17,8,2,7,9,139.21
315,2025-10-15,45,5,2,4,10,371.74
316,2025-05-03,16,1,2,8,1,54.6
317,2025-06-19,46,8,1,5,1,482.44
318,2025-03-22,27,8,4,7,5,163.98
319,2025-11-27,4,2,2,18,1,457.05
320,2025-03-31,27,3,1,13,8,97.22
321,2025-05-29,3,1,3,19,10,58.11
322,2025-06-21,19,8,4,5,9,236.67
323,2025-04-09,8,6,2,15,5,360.71
324,2025-01-08,48,6,3,19,4,91.87
325,2025-11-24,26,7,3,3,7,336.28
326,2025-04-05,9,8,3,8,1,134.09
327,2025-05-01,29,5,3,10,10,362.83
328,2025-01-06,17,6,2,2,2,235.37
329,2025-03-23,26,9,3,4,5,186.93
330,2025-04-24,15,3,4,5,8,375.13
331,2025-11-07,24,7,4,18,4,382.12
332,2025-12-15,49,10,1,17,8,266.45
333,2025-07-05,5,10,1,2,9,451.93
334,2025-04-14,37,9,2,6,6,427.97
335,2025-08-15,8,4,4,3,9,225.51
336,2025-01-29,30,3,4,15,10,33.58
337,2025-08-25,44,5,1,13,5,409.14
338,2025-04-22,38,2,1,14,6,351.69
339,2025-10-05,4,2,4,2,5,207.39
340,2025-03-11,50,7,3,13,8,435.46
341,2025-07-13,25,2,2,12,2,93.34
342,2025-10-03,26,9,2,8,1,379.31
343,2025-06-02,30,9,4,18,7,412.56
344,2025-05-07,30,6,2,9,4,469.02
345,2025-02-27,3,7,1,8,4,38.31
346,2025-11-01,3,8,1,8,1,204.12
347,2025-04-30,35,4,1,5,9,496.77
348,2025-04-30,47,10,3,19,10,387.41
349,2025-06-14,16,5,2,17,4,209.71
350,2025-05-21,4,9,2,14,9,250.33
351,2025-06-26,42,7,3,14,7,78.86
352,2025-07-12,12,9,4,8,4,153.86
353,2025-12-29,10,8,1,18,7,484.05
354,2025-10-13,34,3,4,8,5,105.65
355,2025-11-28,6,8,3,3,9,363.67
356,2025-04-08,4,5,4,20,10,24.58
357,2025-02-07,13,10,2,16,4,435.39
358,2025-06-20,20,1,2,7,2,374.71
359,2025-09-03,16,10,2,13,4,278.28
360,2025-05-25,25,8,3,10,5,183.02
361,2025-09-12,30,2,4,11,4,188.5
362,2025-07-31,3,10,2,5,1,134.08
363,2025-10-27,38,7,3,5,4,168.28
364,2025-07-14,37,4,4,18,6,132.38
365,2025-09-08,47,8,4,6,6,88.79
366,2025-10-07,32,3,1,17,1,420.34
367,2025-02-08,43,1,1,14,3,422.06
368,2025-04-29,5,3,1,7,9,230.72
369,2025-01-31,40,10,4,16,1,8.27
370,2025-10-10,27,1,1,17,5,270.19
371,2025-05-27,2,9,4,6,2,459.43
372,2025-09-26,10,4,2,20,9,129.95
373,2025-07-01,18,7,1,12,7,232.2
374,2025-05-05,45,4,3,3,1,51.28
375,2025-07-14,25,9,4,2,1,352.91
376,2025-02-12,32,7,3,19,2,447.92
377,2025-01-22,15,4,4,9,1,462.46
378,2025-12-17,18,9,1,6,6,12.75
379,2025-04-17,38,3,4,3,5,85.41
380,2025-05-04,37,7,3,13,3,396.3
381,2025-12-19,47,2,3,2,2,221.36
382,2025-02-08,22,10,4,11,1,318.89
383,2025-08-19,32,4,3,18,7,218.76
384,2025-12-15,38,7,1,20,5,400.04
385,2025-02-07,6,5,2,13,3,371.13
386,2025-06-12,24,2,1,1,5,225.14
387,2025-05-19,7,3,1,6,7,227.18
388,2025-10-12,33,7,1,1,2,180.19
389,2025-02-17,39,10,3,13,1,149.46
390,2025-07-18,50,2,2,19,9,88.94
391,2025-07-14,11,3,3,10,5,249.1
392,2025-02-02,11,7,3,14,5,244.69
393,2025-02-09,24,5,2,16,10,310.25
394,2025-08-23,7,3,3,1,7,169.45
395,2025-11-14,25,6,4,11,7,408.66
396,2025-11-30,39,3,3,11,10,473.9
397,2025-04-13,31,6,2,13,6,149.27
398,2025-12-22,41,8,2,11,7,143.75
399,2025-07-21,24,2,2,19,9,94.06
400,2025-10-09,2,8,2,15,5,416.48
401,2025-02-05,27,8,2,10,4,130.08
402,2025-03-20,46,7,4,3,8,495.4
403,2025-09-03,38,7,4,18,1,396.41
404,2025-07-04,45,9,1,4,4,330.51
405,2025-07-01,11,10,1,19,7,483.57
406,2025-06-19,28,2,1,4,5,114.89
407,2025-09-23,36,10,2,15,6,198.61
408,2025-12-14,38,9,2,12,1,243.97
409,2025-06-01,27,2,1,5,6,159.39
410,2025-08-22,14,9,4,12,8,53.32
411,2025-12-23,29,6,1,10,1,406.04
412,2025-02-28,2,6,1,6,4,260.42
413,2025-10-10,11,6,4,15,4,399.89
414,2025-11-19,12,3,4,13,1,370.01
415,2025-04-12,29,10,4,13,1,353.84
416,2025-04-16,18,2,1,18,3,186.07
417,2025-04-11,30,2,3,16,9,483.13
418,2025-06-10,39,7,4,19,2,177.22
419,2025-08-23,40,3,3,20,10,46.95
420,2025-03-10,21,2,2,10,2,95.61
421,2025-12-22,10,9,4,14,10,73.24
422,2025-07-16,28,3,4,18,3,279.68
423,2025-09-08,19,3,2,11,8,311.61
424,2025-07-03,1,8,2,7,7,482.1
425,2025-09-16,42,8,4,16,7,356.52
426,2025-08-16,32,3,1,19,1,398.96
427,2025-04-23,19,1,3,8,9,147.89
428,2025-08-23,37,8,1,19,2,137.61
429,2025-10-06,24,9,1,15,9,113.18
430,2025-08-06,7,4,3,2,8,135.09
431,2025-02-14,29,2,2,7,10,346.12
432,2025-12-30,40,7,2,20,3,393.5
433,2025-04-16,4,10,3,18,5,300.44
434,2025-03-28,21,5,3,19,5,476.44
435,2025-09-21,44,2,2,14,1,496.28
436,2025-12-02,9,3,2,5,6,415.1
437,2025-12-13,26,8,2,19,5,315.77
438,2025-07-12,29,2,1,13,9,376.15
439,2025-12-22,24,8,4,11,10,6.22
440,2025-02-17,47,8,3,3,9,201.87
441,2025-08-08,14,8,3,11,5,172.19
442,2025-10-23,9,10,4,11,1,27.74
443,2025-11-17,30,1,1,6,8,230.98
444,2025-08-08,13,3,3,6,5,51.2
445,2025-07-04,17,2,3,6,1,201.19
446,2025-06-06,47,4,4,3,2,5.54
447,2025-09-02,5,3,2,17,8,9.6
448,2025-12-23,22,2,4,5,8,40.06
449,2025-07-16,6,2,1,11,6,441.09
450,2025-03-12,25,3,2,3,9,283.83
451,2025-11-09,42,3,4,12,4,315.9
452,2025-03-19,27,10,4,7,2,448.81
453,2025-03-13,49,2,4,12,7,160.68
454,2025-03-13,16,5,1,8,9,302.49
455,2025-11-08,19,1,3,7,9,305.43
456,2025-04-07,48,7,3,2,4,249.97
457,2025-02-27,16,8,1,17,1,493.51
458,2025-06-12,9,7,4,12,9,343.06
459,2025-08-30,50,2,1,19,2,11.83
460,2025-04-21,3,1,4,17,5,316.14
461,2025-09-14,50,7,4,13,2,322.07
462,2025-10-03,40,3,3,3,5,44.12
463,2025-04-15,10,9,3,13,10,318.98
464,2025-11-29,44,2,3,14,4,33.66
465,2025-02-14,28,2,4,20,10,32.24
466,2025-12-08,48,3,1,1,3,352.24
467,2025-03-25,32,6,3,6,6,67.83
468,2025-05-18,47,2,1,11,7,139.63
469,2025-02-02,17,10,1,16,8,257.84
470,2025-01-29,32,10,2,12,3,131.28
471,2025-02-22,37,2,2,17,1,26.8
472,2025-01-07,16,1,4,12,7,460.51
473,2025-04-02,3,9,4,8,6,127.89
474,2025-06-13,18,2,3,4,9,338.3
475,2025-01-27,12,4,1,13,2,439.11
476,2025-05-25,50,5,3,3,9,231.09
477,2025-07-08,13,5,3,20,4,234.64
478,2025-10-30,32,4,2,5,1,466.54
479,2025-01-13,15,9,3,1,6,5.72
480,2025-12-03,25,5,1,7,9,491.64
481,2025-08-03,32,1,2,9,2,26.73
482,2025-04-29,34,7,3,15,2,292.48
483,2025-09-16,9,7,1,19,10,35.83
484,2025-12-06,9,4,3,9,6,463.39
485,2025-07-21,45,6,3,15,5,120.64
486,2025-04-14,9,10,1,5,2,86.37
487,2025-08-27,21,7,1,18,6,482.49
488,2025-04-17,29,5,4,9,2,49.76
489,2025-12-18,20,10,1,7,6,78.42
490,2025-12-31,16,6,4,17,1,340.21
491,2025-05-14,12,1,4,15,9,375.3
492,2025-05-08,7,8,1,5,2,10.92
493,2025-04-24,9,4,4,12,2,293.25
494,2025-05-13,5,1,1,7,8,405.6
495,2025-02-17,22,2,1,15,1,88.15
496,2025-10-21,28,7,4,1,7,343.19
497,2025-03-30,23,4,2,9,5,225.78
498,2025-03-18,3,10,2,10,8,208.94
499,2025-10-09,31,1,1,9,7,72.93
500,2025-04-13,42,9,2,18,1,494.75
501,2025-07-03,31,9,4,12,10,253.68
502,2025-07-18,18,3,1,11,10,113.41
503,2025-05-24,4,8,3,19,4,487.12
504,2025-02-21,16,4,3,18,1,383.2
505,2025-04-23,37,7,3,6,3,122.09
506,2025-06-12,48,6,1,12,10,283.99
507,2025-10-16,13,8,3,6,8,23.79
508,2025-01-29,15,10,2,1,9,241.6
509,2025-06-19,40,4,2,11,3,459.8
510,2025-06-15,4,1,2,19,3,388.31
511,2025-09-27,24,2,3,13,10,55.01
512,2025-06-04,21,3,2,14,8,326.34
513,2025-03-31,46,9,3,8,10,408.15
514,2025-07-13,20,5,2,6,1,474.65
515,2025-10-21,26,10,1,6,10,162.52
516,2025-11-10,15,10,1,16,3,168.93
517,2025-02-09,16,6,3,6,2,411.72
518,2025-12-10,41,6,4,1,5,108.79
519,2025-12-21,5,6,3,4,1,28.83
520,2025-08-13,47,7,2,14,8,441.48
521,2025-06-29,35,7,1,16,10,327.23
522,2025-12-18,15,3,4,3,1,150.98
523,2025-06-13,17,2,1,11,3,444.53
524,2025-03-24,47,2,1,11,10,492.71
525,2025-09-05,46,1,4,6,10,445.43
526,2025-03-22,4,2,3,7,4,207.59
527,2025-10-11,47,9,3,10,5,122.59
528,2025-01-26,26,10,4,5,1,183.61
529,2025-08-07,6,5,4,7,2,17.74
530,2025-03-29,41,5,1,16,2,157.63
531,2025-07-23,31,8,3,3,9,196.83
532,2025-07-09,25,6,2,15,1,135.33
533,2025-08-27,17,4,3,19,1,79.81
534,2025-12-23,43,2,1,12,9,209.92
535,2025-10-29,15,9,1,13,9,212.22
536,2025-10-02,44,8,2,16,5,44.08
537,2025-01-18,33,10,2,4,8,90.58
538,2025-03-27,14,4,2,2,7,43.79
539,2025-12-16,28,4,2,20,5,163.28
540,2025-02-04,6,7,4,18,6,429.03
541,2025-09-24,30,1,4,4,7,79.07
542,2025-10-18,38,10,1,4,10,390.87
543,2025-05-27,35,6,4,9,7,329.12
544,2025-10-20,39,8,1,6,5,204.47
545,2025-11-13,39,7,1,13,6,346.8
546,2025-01-26,48,8,3,12,1,172.24
547,2025-06-05,20,5,4,4,4,71.52
548,2025-08-15,50,6,3,14,10,324.55
549,2025-04-07,29,4,4,16,9,434.26
550,2025-01-29,33,3,1,10,9,204.68
551,2025-09-26,37,1,2,7,4,419.3
552,2025-05-08,3,8,1,12,4,140.62
553,2025-08-26,33,7,1,1,4,189.37
554,2025-11-01,29,3,4,19,9,178.13
555,2025-03-25,17,2,3,1,7,29.58
556,2025-10-20,50,4,2,8,4,138.2
557,2025-07-29,33,1,1,16,3,325.45
558,2025-11-04,1,4,3,20,5,357.81
559,2025-12-30,42,5,4,13,6,232.2
560,2025-04-22,30,5,4,19,2,8.64
561,2025-12-06,24,9,3,10,2,243.46
562,2025-06-22,18,6,3,9,5,98.24
563,2025-09-22,49,4,1,20,7,331.96
564,2025-12-15,9,1,4,10,5,453.92
565,2025-07-27,25,1,2,11,4,344.73
566,2025-11-23,31,6,3,6,9,94.66
567,2025-02-19,31,3,3,18,3,473.73
568,2025-06-21,42,2,2,12,4,373.38
569,2025-06-07,27,6,3,9,10,150.56
570,2025-03-02,31,1,1,16,4,252.74
571,2025-12-15,25,9,3,14,1,436.07
572,2025-03-19,9,4,3,14,10,446.96
573,2025-08-23,10,6,2,3,8,169.65
574,2025-04-01,21,1,1,15,5,108.64
575,2025-03-28,37,3,4,3,3,309.17
576,2025-11-21,28,7,4,16,7,7.31
577,2025-10-01,13,6,1,11,9,99.34
578,2025-12-13,1,4,2,12,5,68.82
579,2025-07-16,33,10,3,6,2,412.8
580,2025-06-02,19,8,3,14,3,174.65
581,2025-09-08,23,4,2,13,1,118.07
582,2025-03-09,14,1,2,4,6,357.0
583,2025-01-20,25,5,1,20,1,332.68
584,2025-12-01,2,1,1,14,8,193.23
585,2025-10-08,17,8,2,7,1,154.05
586,2025-12-05,7,9,3,20,10,351.86
587,2025-08-03,7,9,1,10,2,393.46
588,2025-09-12,13,10,2,9,9,486.69
589,2025-07-03,46,7,3,6,1,276.33
590,2025-04-17,45,8,3,8,1,11.31
591,2025-02-15,8,10,4,5,2,390.87
592,2025-02-08,47,2,3,8,8,494.39
593,2025-06-01,17,8,1,4,3,437.7
594,2025-05-29,24,6,4,4,2,426.37
595,2025-01-24,1,3,2,11,6,447.79
596,2025-11-15,18,2,3,11,3,61.35
597,2025-07-24,30,5,4,16,7,326.18
598,2025-03-27,8,3,1,6,2,210.93
599,2025-10-30,31,10,4,6,10,192.98
600,2025-07-03,40,1,2,16,8,60.9
601,2025-07-30,29,1,1,9,6,11.12
602,2025-12-14,34,10,2,11,9,263.94
603,2025-12-25,40,2,4,8,8,176.15
604,2025-12-13,42,7,2,18,10,32.01
